,Customer Name,Customer review
0,Lizz,"Appearance: Looks great and is lightweight. The band has a very large size range. If you like silicone bands its nice, very smooth and flexible. I got the color gray and it has already started picking up color staining from my jeans. I would think the other light band colors would do the same so if this is a problem for you go with a dark color. I personally don't care because I'm getting a chainlink band.  Screen: The screen is great!! Easy to see in the sun light even when on the dim setting. This was something I hated about my Fitbit Charge3, the screen was invisible in the sun. It has crisp and clear images, text is very easy to read. Responsive to touch and actuate to where you touch.  Battery life: Fantastic! I use the dim setting and it lasts about 10 days. Also charges pretty quickly.  Fitness tracking: Okay, this is the biggest problem for me personally. Most of my outdoor exercise is walking/jogging while pushing my toddler in the stroller. It will not track steps or distance when I am holding the handle bar. If you are doing regular running, hiking, ect it works fine; but I do wonder how it would do tracking cycling as your hands are put in a similar position holding the handle bars. A positive that I got even with it struggling to track my movment, it still monitors heart rate and shows what workout zone you are it for calories/fat burning and I do like that.  HR/step/sleep tracking: day to day use works perfectly fine and I found it as accurate at my old Fitbit Charge3. The sleep tracking is a little off and hard to understand on the app, so be warned if that matters to you.  App: Easy to set up, very basic, and does its job. No issues with it but not overly impressed. Its fine.  Other features: My 2 favorite things are the weekly totals screen and find my phone. Love how easy to access the weekly total screen is, and the find my phone ability it great. It uses the volume for your phones media setting not the ringtone, so even if your phone is on vibrate it will still make noise if the media volume is on. Very handy! More watch faces would be nice, it lacks a good analog face and the digital faces do not track seconds; however there are some very pretty ones. Relax feature for breathing is basic and fine.  Overall: Worth the money and do recommend it as a good alternative to the big name brands. Other than the problem with tracking my walks/jogs while pushing the stroller I'm very pleased (and again if you're doing other activities it does track those much better). I knew there would be flaws going in because it is cheaper, but for me the few flaws it has are worth dealing with for the price. Deffenitly intend to keep using till it dies! 68 people found this helpful"
1,Kailua Sam,"I had an identical watch from ""Yamay"" which no longer is on Amazon. Might be same company, I dunno. I was looking for a simple inexpensive watch that provided the following features: 1. Water proof, at least in shower, washing dishes, surfing small to mid-sized waves 2. At least 10 alarm settings to wake me up without waking up my wife 3. Big letters 4. Step counter but not actually very important to me. Ball park counting is good enough 5. Simple to navigate 6. Sleeping info  This watch does all of the above. Not really sure about the steps as I haven't paid attention to it. I assume it is same as my Yamay watch and is not very accurate but provides a ball park. FYI, if my hands are on a shopping cart I'm pushing, no steps are counted.  My main features are met and price is low. Easy to install the software, downloaded from Google Play but had to uninstall previous installation for my Yamay. FYI, the Yamay lasted about 3 years. Not great, not bad. I guess good for the price/features.  I would buy it again. 13 people found this helpful"
2,mathman419,"I purchased originally in July 2022, and I was very pleased with the quality and look of the product. It was a rare instance where the quality exceeded the cost. Two months later, my screen suddenly went dark. The tracker itself continued to work as I was able to see metrics via the app. Customer service was great and they replaced the tracker with very minimal effort (I just took a video of me plugging in the tracker and showed the screen not lighting up). Upon receiving, FitPolo sent me a new tracker immediately. One person found this helpful"
3,AZN8TV,"I ordered this as a step tracker. What I got was so much more.  I love the big, bright display. It tells me what time, day and day of the week. As a retired person, I need that sometimes.  The app download was pretty easy, yet I'm not sure I will use it much. I don't care to have my information shared or like to compete with others in step count. Personal preference.  This watch/step counter would be great for any older person who needs a little help by way of a simple watch.  As far as the battery goes, I only wear it during the day. I take it off when I go to bed. The temptation to check the time would interfere with my 8 hours of sleep. The battery has lasted WELL. I got in on Friday, charged it, then started wearing it on Saturday morning. So far, I've only used 10% of the battery.  Love this product! 6 people found this helpful"
4,Jeff Brown Jr.,"I've had this model/brand of watch before. After long years of daily wear and tear, the strap finally broke. (My job is very hands on) To this day my old one still works and still charges well, just no wrist strap anymore. This brand of smart watch is really good for the price you pay. I personally don't use some of the functions, like the email and sleep app, but if you want a nice smart watch, and don't want to pay an outrageous price, this is the one you want. One person found this helpful"
5,T-Man,"This is a cheap fitness tracker and does what I need it to do. The features on this are limited so don't expect it, as some review claim, to be comparable or better than a name brand smart watch. The step tracker is accurate, I tested it several times by taking 100 steps and it counted them all within a +-10steps. I do like that it can track my walking, running, and gym workouts. While it tracks in ""sport"" mode it also constantly measures your heart rate so you can keep a pace that's suitable to what you want to do (i.e keep a bpm to burn fat). The app for this watch is ok, it syncs with Google Fit, but to use the app you have to keep Bluetooth and location turned on at all times. One work around for me: I sync the watch with the app once a day at night rather than having it sync all day and drain my phone battery. Sleep tracking requires that you wear the watch to sleep...no thanks, I don't use that feature. If you're ok with sleeping with the watch on go for it, let me know how it works out for you. The face can't be changed, a couple of different options are available but the default is probably the best one. The control knob sticks out quite a bit. When I workout at the gym and put on weightlifting gloves they tend to press the control knob of the watch and stop the exercise tracker even if I switched the wrist I wear the watch on(left for now) I believe the knob would still get pressed on accident. Battery life is solid it can go 3-4 days with workout tracking not needing to be charged. After 15% battery life it will not track your workout and will need to be charged. If you're looking to track your daily workout, step count, and stay in shape this is an ideal starter fitness tracker watch. It's durable enough to wear in a gym and weightlift with, sweat doesn't impede it's functions. Go for it give this watch a try it's a great deal at the current price point. 9 people found this helpful"
6,Emily.,"I’ve had a super cheap one (like $20 ones) and it was horrid. So I got this one, works better than the super cheap one. Definitely doesn’t have very many functions like a Fitbit or Apple Watch. The sleep tracker seems to be a bit off. I noticed if I fall asleep, wake up and am up for a while and go back to sleep, it only tracks the second time. It doesn’t track my naps either. Other than that, I don’t really have any complaints. It tracks my steps perfectly, my heart rate. and I can get the important notifications (texts, calls, messenger) on it. 5 people found this helpful"
7,Sarai,"So far, I think this is a good product for it’s price. It tracks every step, heart rate, workouts etc. However, one workout that it does not include is swimming. You get notifications of txts messages, social media and incoming calls. You can only receive these notifications but cannot respond through the fitbit. You can however hang up the incoming calls but can’t answer it from the watch. Overall, it’s a great product for it’s price. 3 people found this helpful"
8,Christopher Jason Cuppett,"I used to own a Samsung Galaxy Gear Frontier smartwatch that allowed me to exercise without my phone. I would go for a run with just my watch, start and stop the exercise activity with just my watch, and it would record everything. Later when I was back from my run I would sync my watch with my phone's Strava app and it would show me all the details of my exercise, including my route location because the watch had GPS built-in.  Unfortunately the battery on the watch died after about three years. Since the Samsung Galaxy Gear was very expensive and had a bunch of features that I did not use, I decided to look around for a cheaper smartwatch that could give me the few features that I wanted: step counter, heart rate monitor, sleep tracker, and exercise route location tracker that would sync with the Strava app.  While I was looking for a new watch, the only way I could get step counting, run distance, and route tracking during my exercises was to run with my phone. This was awkward because my phone is heavy and would bounce around in my pocket while I ran. If I strapped my phone into an armband then it was still awkward because it was difficult to pull the phone out of the armband to stop my exercise recording.  My situation and wanted requirements led me to this FitPolo smartwatch. Based on the product description it had everything I wanted. Once I got it and finished setting it up, I was eager to finally go for a run with just my watch and leave my phone behind at my house. Yet when I got back from my run and synced my watch with the VeryFitPro app, I immediately ran into two problems: it did not show my route location on the VeryFitPro app, and I could not get the app to sync with Strava.  Let me first describe the Strava sync issue. The VeryFitPro does appear to have a link for syncing with Strava. You go to User --> Third party program --> Strava. After you tap that it takes you to a privacy disclaimer where you get two options: ""I agree"" and ""Disagree"". If you tap on ""I agree"", nothing happens for about three seconds, but then the screen goes blank white and takes you back to the Third party program menu. If you tap on Strava again you see the same disclaimer! It never actually sets up the sync with the Strava app. You can keep trying to tap on ""I agree"" and it will never work. I must have tapped on it a dozen times just to make sure it wasn't a temporary glitch. I even restarted the watch and my phone and it still would never sync with Strava.  Regarding the route location tracking issue, the VeryFitPro app would show me all the statistics of my run but the map would be empty. By empty I mean it would show a map of the world, but the map would be centered on west Africa. If I manually moved the map with my fingers to my location near Dallas, Texas, USA then it would not show any route lines, even if I zoomed into where I ran. I later came back to the product description and read that Q&A about the GPS feature. The manufacturer claims that in order to get the GPS tracking to work you need to start the exercise on the VeryFitPro app. So that's when I realized that the watch doesn't have GPS at all, it simply links to the phone app and uses the GPS feature on the phone to work. I consider that very misleading. I know that my phone has GPS. I want a watch that has built-in GPS so I don't have to run with my phone!  For the reasons listed above I decided to return the two FitPolo watches that I purchased because they did not meet my needs (one of the watches was for my daughter). There were some good things about the watch that I feel I should mention as part of this review. The heart rate monitor worked well. You could get your current and historical heart rates with both the watch and the VeryFitPro app on the phone. I slept once with the watch and it appeared to give accurate sleep statistics in the morning. The step counter appeared to work well. It had some nice features like ""find my phone"" that would ring your phone from your watch if you misplaced it somewhere. The watch could be configured through the VeryFitPro app to show notifications from your phone like calendar reminders and new texts. Also, I suppose if you were to strap your phone into an armband you could possibly get route location tracking while still being able to start and stop your exercise on the watch. I did not test this though because I don't want to have to run with my phone at all. 4 people found this helpful"
9,Ata,"The screen is my biggest complaint. You can’t really customize it and the actual screen is smaller than it looks, half of the screen is just frame."
